catchment_id,facility_name,facility_class,ownership_class,region,tpopn,log_tpopn,z_log_tpopn,catchment_population,malaria_cases,scd_cases,expected_malaria_cases,expected_scd_cases,shared_mean,shared_sd,malaria_spatial_mean,malaria_spatial_sd,scd_spatial_mean,scd_spatial_sd,exceed_prob_rr_gt1,hotspot_080,hotspot_090,robust_hotspot_005_adj,robust_hotspot_010_adj,hotspot_class_005_adj,hotspot_class_010_adj,rr_malaria_adj,rr_scd_adj
HF0494,Masaka REGIONAL REF HOSPITAL,Hospital,Government,CENTRAL I,26280,10.176563472598547,2.1087978453028993,29288,9391,2603,2646.7838280278656,274.90458260273664,6.972955260936298,1.5317085746387864,-0.006375575391125947,0.16145278665647497,0.010134139948253509,0.16259082719522988,0.9999973481737132,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.0013406472799603426,0.03444580926838499
HF0499,Kyannamukaaka HC IV,HC IV,Government,CENTRAL I,7655,8.943114308091785,0.49546768286580806,13401,2649,0,1211.060846742742,125.78517862125355,2.513943065094557,1.6839020182990263,0.004431460719069425,0.18105152240750447,-0.0033571663528552,0.18058713941082205,0.9322718731828501,1,1,0,1,Bayesian hotspot only,Robust hotspot,0.0018053777962830594,1.0596558838342548e-4
HF0505,Kiyumba HC IV,HC IV,Government,CENTRAL I,4268,8.358900612421644,-0.26867372130011413,8760,0,0,791.6493558291485,82.22357769734953,-2.8993832574081226,2.8078512471412154,-0.009516477044864349,0.19712041971820304,0.00849577789772542,0.19699460324752724,0.15089589259503922,0,0,0,0,Not hotspot,Not hotspot,5.0299179117540315e-6,7.719907346740026e-5
HF0506,St. Joseph Kitovu HOSPITAL,General hospital,PNFP,CENTRAL I,8855,9.088737550216933,0.6859403635671085,17879,4672,434,1615.7418758983272,167.8168202797845,6.274105659814789,1.5411205904207206,-0.009686810409005297,0.18669860379235123,0.01324997205906932,0.18621858942123812,0.999976607406385,1,1,1,1,Robust hotspot,Robust hotspot,0.0017898145068149915,0.015428325886431537
HF0537,Mwera HC IV,HC IV,Government,CENTRAL II,3045,8.021256180143997,-0.710306795809761,14188,0,0,1282.1827694639223,133.17215985958848,-3.0070537828543378,2.4489717814961005,0.016578374373933856,0.17420781495921084,-0.0179389432032547,0.1685835440750046,0.10974521875400867,0,0,0,0,Not hotspot,Not hotspot,6.172930099170689e-7,1.1336271996868984e-5
HF0540,Kyantungo HC IV,HC IV,Government,CENTRAL II,2780,7.930206206684683,-0.8293985854821375,14995,0,0,1355.112110805717,140.74686616115937,-3.1529482474479624,2.5865820876246772,0.022426709323472405,0.19547894766112964,-0.023786155119384176,0.1885366910045877,0.1114290897213932,0,0,0,0,Not hotspot,Not hotspot,7.205881652278695e-7,9.07269949705809e-6
HF0550,Mityana HOSPITAL,General hospital,Government,CENTRAL II,5232,8.562548893137034,-0.0023052942413652067,29277,2697,226,2645.7897477865276,274.8013338179569,4.360054325131891,1.479126037372486,0.022348029771384777,0.17856495042781556,-0.02006885565516877,0.17160223705244043,0.9983993828501562,1,1,0,0,Not hotspot,Not hotspot,3.8536585616970076e-4,0.00300358589958463
HF0560,Ssekanyonyi HC IV,HC IV,Government,CENTRAL II,8281,9.0217190130337,0.598281276681789,10014,2444,0,904.9745033416773,93.99393916224409,1.7980018196225709,1.617273266335679,0.023516539056731667,0.17229727598498035,-0.022651295792827025,0.16587849843596428,0.8668769417832294,1,0,0,0,Not hotspot,Not hotspot,0.002982680758880749,1.3207641164432587e-4
HF0583,Mpigi   HC IV,HC IV,Government,CENTRAL I,5552,8.62191350218664,0.07534258709577435,44464,0,0,4018.253077350144,417.35036058618147,-2.7498627765295707,1.9522969987079306,0.008454882576711691,0.1566262521569207,-0.009428980014960217,0.15380101569071017,0.07948755844821798,0,0,0,0,Not hotspot,Not hotspot,7.577524493552269e-8,3.8503035762263415e-7
HF0588,Nkozi HOSPITAL,General hospital,PNFP,CENTRAL I,3721,8.221747728346623,-0.44806732025070717,27583,1071,157,2492.7013906204797,258.90102096187127,4.567021676971993,1.57523094025883,-0.020744040113025233,0.31725685090245415,0.023935457144510102,0.3135531396444515,0.9981298438253987,1,1,0,0,Not hotspot,Not hotspot,1.7246865782674528e-4,0.0023477370359423484
HF0608,Kassanda HC IV,HC IV,Government,CENTRAL II,7268,8.891236429516061,0.427612315431243,45130,0,0,4078.4401174166064,423.60160519193886,-3.827671783780247,2.2560134078152547,0.02591737250259178,0.1895581702642878,-0.028278350382524842,0.1841087498433857,0.044881147231626284,0,0,0,0,Not hotspot,Not hotspot,6.527506122548739e-8,5.080865946047968e-7
HF0615,Kiganda HC IV,HC IV,Government,CENTRAL II,5298,8.575084669832014,0.014091284745069727,28603,0,0,2584.879740271819,268.4749991869051,-4.913211419746137,3.1747939395171243,0.034210627881142326,0.24195466884704583,-0.03759057641599341,0.23625082448288157,0.06086309783551391,0,0,0,0,Not hotspot,Not hotspot,2.474940131192603e-6,8.27851686061469e-6
HF0650,Mubende RR HOSPITAL,Hospital,Government,CENTRAL II,2772,7.927324360309794,-0.8331679906703743,42103,285,0,3804.8873091866026,395.18941687117666,-0.5367955881493447,1.7313982554430796,0.0447521554606538,0.2645303001370927,-0.04678659337335778,0.25870292672427525,0.3782668343284087,0,0,0,0,Not hotspot,Not hotspot,1.9675248350495944e-5,1.0498938409380093e-5
HF0678,Mukono  T.C. HC IV,HC IV,Government,GREATER KAMPALA,14575,9.587063011218692,1.3377414430757228,45197,0,0,4084.494969795665,424.2304841537793,-3.1544299281296055,2.0237509512483896,0.002795275057810405,0.14075242405650074,-0.0038373181129860053,0.14048748301114747,0.05953315561764794,0,0,0,0,Not hotspot,Not hotspot,4.559131344674829e-8,1.4826010614212704e-7
HF0680,St. Francis HOSPITAL Naggalama,General hospital,PNFP,GREATER KAMPALA,9095,9.115480090952223,0.7209191440713693,49954,2040,2021,4514.389488708823,468.8808904444519,4.9177116915246835,1.4605910897807246,0.0030342626711693764,0.13160213677342178,-1.4545665677246914e-4,0.1251324552826852,0.999619953625159,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,1.0015501014785374e-4,0.009188394331766443
