catchment_id,area_index,catchment_population,malaria_cases,scd_cases,expected_malaria_cases,expected_scd_cases,shared_mean,shared_sd,malaria_spatial_mean,malaria_spatial_sd,scd_spatial_mean,scd_spatial_sd,exceed_prob_rr_gt1,hotspot_080,hotspot_090,robust_hotspot_005,robust_hotspot_010,hotspot_class_005,hotspot_class_010,rr_malaria,rr_scd
HF0887,70,60614,444,149,5477.743613496348,568.9383491492174,3.1720359001467497,1.5357267132033796,0.004798901475807039,0.18985730073456047,-0.00266152721392386,0.1851065441394412,0.9805619075493234,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,1.4815927396991654e-5,4.6132776216464627e-4
HF0889,71,71727,0,2,6482.035770040792,673.2477805362773,-1.703468496631191,1.587265440463951,5.514925377631939e-4,0.14161408537866646,-7.82599496835472e-4,0.13568849754427056,0.14158854385385378,0,0,0,0,Not hotspot,Not hotspot,2.6320104293910424e-8,5.2616440573973675e-6
HF0919,72,22924,0,0,2071.6632229483334,215.17046748105486,-2.9499259438430045,2.137939824257403,0.016602348418060752,0.16483601663642472,-0.01782746618907107,0.15886084880994356,0.08382436306456409,0,0,0,0,Not hotspot,Not hotspot,3.0339469561101056e-07,2.370760526748016e-5
HF0921,73,35279,511,14,3188.1960758329374,331.13762529506783,1.9548292476713096,1.47801345654297,0.005769721179140319,0.15829796128097906,-0.004348050112412165,0.15667472759427983,0.9070167565140401,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,5.0295706938833894e-5,1.3247541382011084e-4
HF0926,74,51320,0,0,4637.836180496793,481.7025122634678,-2.8889089804520034,1.8215954269350523,0.0030094027050731253,0.13527354625317334,-0.0039186075788850165,0.1345885588939295,0.05637845757431592,0,0,0,0,Not hotspot,Not hotspot,5.0472914402276345e-8,3.861975265338639e-6
HF0940,75,65003,11,31,5874.3816297901985,610.1346142763483,1.0607479646718423,1.4539211815913073,0.00301081219352142,0.15329347981770605,-0.0018891296044300102,0.14832511941495247,0.7671757147478345,0,0,0,0,Not hotspot,Not hotspot,3.433479359790146e-7,8.394489933461387e-5
HF0948,76,10195,0,0,921.3316418582385,95.6928509845295,-2.177881420903887,2.376444106839748,0.0022744475323916062,0.17237705370229264,-0.0027194573378999634,0.16939955928026837,0.1797166496026913,0,0,0,0,Not hotspot,Not hotspot,1.7576031539710682e-6,1.5932631321001188e-4
HF0957,77,23314,0,0,2106.907886050316,218.83110621415605,-4.293972982773275,3.070326168920355,0.003054260388968895,0.1907184304807889,-0.004623432253095622,0.19130321726853683,0.08097553258611978,0,0,0,0,Not hotspot,Not hotspot,1.168092137262343e-6,9.282238733968012e-5
HF0966,78,39980,0,0,3613.029822608374,375.2624014086797,-16.165530018341396,2.686270871085602,-0.005393644369402557,0.15626641054186194,-0.002422752379929817,0.15397491186393467,8.838360043839089e-10,0,0,0,0,Not hotspot,Not hotspot,1.1327660092713496e-10,1.195414149576699e-9
HF0975,79,8327,7821,192,752.5187426928447,78.15933007829105,6.142325029211957,1.5828785493166833,0.009223967221251557,0.29474597896688143,-0.006486362961604793,0.2944567609869124,0.9999478742639618,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.013811499394037278,0.03150486728775553
HF0998,80,41002,0,0,3705.3889141217746,384.85515214003715,-3.5670237929355055,2.36523518335756,-0.023692963909118358,0.22038177229084135,0.02189637053824465,0.2126223575291683,0.06576378531245852,0,0,0,0,Not hotspot,Not hotspot,1.0863959410305806e-7,9.8254693080736e-6
HF1015,81,71146,1665,206,6429.530259111941,667.7943674492728,3.4819865058949415,1.5476409248832559,-0.014123388490668083,0.2751015065033519,0.01518736148164478,0.2710444131382417,0.9877713106969731,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4.0286845364321303e-05,4.6275510638446235e-4
HF1032,82,51046,11617,551,4613.074545394374,479.13067889713517,4.476851908850676,1.4870045432514756,-0.01402749764536109,0.18775562906641033,0.016109138806800247,0.18320195232865819,0.9986965590936618,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,5.459089218791468e-4,0.002401278839908522
HF1063,83,42335,0,0,3825.853365185731,397.36702760471377,-4.44735700912978,2.6844071656902564,-0.015184026425053732,0.20004126355433116,0.012996419191627867,0.19561512659523708,0.04878631689789992,0,0,0,0,Not hotspot,Not hotspot,1.735854564922646e-7,1.4202792986457964e-5
HF1065,84,22892,0,0,2068.7713531553504,214.87010737987734,-4.009852332886563,2.786312156165537,-0.021328949120491086,0.24512247528647663,0.01907669574178802,0.2368721110123005,0.07505751173391495,0,0,0,0,Not hotspot,Not hotspot,7.246130336528666e-7,5.7381542019415975e-5
HF1092,85,45814,0,0,4140.253834241622,430.0218023546086,-4.662734741648682,2.7522458840932593,-0.01616350423308011,0.26287856704440943,0.013266339735120524,0.25685984002071344,0.04511779186889231,0,0,0,0,Not hotspot,Not hotspot,1.7007719275977559e-7,1.3549485759022887e-5
HF1113,86,54227,3938,556,4900.544477003109,508.98835020481425,4.785121285461132,1.5204856380588616,-0.014493646666273957,0.2069053015668117,0.016668371528192335,0.20210645867668203,0.9991755089562521,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,1.639969190615037e-4,0.00214747950161459
HF1125,87,37541,22309,679,3392.6151218244368,352.36932994705467,5.436510276721391,1.5096113224573293,-0.01592833616564918,0.20111768601808863,0.01839073445821078,0.19518095225557308,0.9998416636482483,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.0019382715837859706,0.005471417293536595
HF1130,88,31671,1852,11,2862.1377566740825,297.27202388730103,2.4774039342332386,1.5356134591598454,-0.009609283572297322,0.227799941301937,0.01014419967682231,0.2251327368843629,0.9466602376725871,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,2.260889329080246e-4,1.3236057213420233e-4
HF1147,89,16454,0,0,1486.9632991795445,154.4414095242225,-5.037680510288864,4.5126815421394415,-0.0018696226739723708,0.21227611100323437,-5.67200493025273e-4,0.20618840806890334,0.1321386164419267,0,0,0,0,Not hotspot,Not hotspot,1.6571033091263197e-4,0.007605833717160502
HF1165,90,28965,0,0,2617.594017304941,271.87282283147596,-3.390622033954053,2.418901117394031,-0.015475310716364887,0.1941239472258624,0.013825007515488688,0.18950683004870442,0.08049944042824086,0,0,0,0,Not hotspot,Not hotspot,2.3384293736947497e-7,2.0987352471235214e-05
