catchment_id,area_index,cases_local_ib,cases_p_value,cases_quadrant,cases_cluster_005,cases_cluster_010,cases_hotspot_005,cases_hotspot_010,deaths_local_ib,deaths_p_value,deaths_quadrant,deaths_cluster_005,deaths_cluster_010,deaths_hotspot_005,deaths_hotspot_010
HF1524,119,0.2047941561565181,0.263,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.318,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1530,120,0.20239762879723971,0.324,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.324,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1532,121,0.13600392055322186,0.489,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.11987829144029453,0.612,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1533,122,0.20200546977481232,0.245,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.14207063630196892,0.255,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1547,123,-0.036383642636317576,0.884,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.013492741995159045,0.931,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1583,124,-0.06318117583552155,0.794,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.08016276126535675,0.607,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1591,125,-0.042863218776677085,0.041,Low-High,Low-High,Low-High,Not hotspot,Not hotspot,-0.04561895072298791,0.342,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1595,126,-0.06274544358838001,0.947,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,0.008730597761573516,1,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1600,127,-1.1376968972865296,0.003,Low-High,Low-High,Low-High,Not hotspot,Not hotspot,-0.2912844889543161,0.071,Low-High,Not significant,Low-High,Not hotspot,Not hotspot
HF1609,128,-0.8269688644250265,0.33,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-1.0563159862284464,0.455,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1617,129,0.08811839969117972,0.743,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.15448851961493093,0.883,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1629,130,0.2047941561565181,0.747,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.831,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1643,131,0.2047941561565181,0.741,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.842,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1647,132,0.15991373470094075,0.524,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.04206560739667235,0.825,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1667,133,0.2047941561565181,0.247,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.325,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1688,134,-0.5481511669040421,0.069,Low-High,Not significant,Low-High,Not hotspot,Not hotspot,-0.3468428383461475,0.109,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1697,135,0.08515762162112388,0.107,High-High,Not significant,Not significant,Not hotspot,Not hotspot,-1.1661618943147227,0.02,Low-High,Low-High,Low-High,Not hotspot,Not hotspot
HF1698,136,-0.4056248204056974,0.656,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-2.18257748795842,0.598,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1722,137,-0.23599258505185153,0.145,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.09794143307074278,0.45,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1726,138,-0.19673310958439985,0.341,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.15794445041392072,0.105,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1734,139,-0.35625468526291326,0.088,Low-High,Not significant,Low-High,Not hotspot,Not hotspot,-0.19572412800036607,0.088,Low-High,Not significant,Low-High,Not hotspot,Not hotspot
HF1747,140,0.29781875817858383,0.101,High-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.00782067619950765,0.31,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1751,141,-0.5891099981353457,0.046,Low-High,Low-High,Low-High,Not hotspot,Not hotspot,-0.22831835964357378,0.09,Low-High,Not significant,Low-High,Not hotspot,Not hotspot
HF1752,142,-0.9667813685876163,0.479,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.3805032943793575,0.349,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1754,143,-0.3425918294232069,0.036,Low-High,Low-High,Low-High,Not hotspot,Not hotspot,0.006343990842091757,0.052,High-High,Not significant,High-High,Not hotspot,Hotspot
HF1769,144,0,1,High-High,Not significant,Not significant,Not hotspot,Not hotspot,0,1,High-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1785,145,-1.061308232815729,0.334,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.8954214859813072,0.451,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1805,146,0.06187397909409697,0.931,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.1023861010220893,0.738,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1831,147,0,1,High-High,Not significant,Not significant,Not hotspot,Not hotspot,0,1,High-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1856,148,0.2047941561565181,0.743,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.82,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1868,149,-3.0178815437022224,0.011,Low-High,Low-High,Low-High,Not hotspot,Not hotspot,-1.0135430310481242,0.012,Low-High,Low-High,Low-High,Not hotspot,Not hotspot
HF1882,150,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
