catchment_id,area_index,catchment_population,malaria_cases,scd_cases,expected_malaria_cases,expected_scd_cases,cases_cluster_005,cases_cluster_010,shared_mean,shared_sd,exceed_prob_rr_gt1,hotspot_080,hotspot_090,robust_hotspot_005,robust_hotspot_010,hotspot_class_005,hotspot_class_010,rr_malaria,rr_scd
HF0354,30,22487,0,0,2032.1711260879067,211.06867484934918,Not significant,Not significant,-4.543384261774665,3.2277328407392964,0.07962351091438569,0,0,0,0,Not hotspot,Not hotspot,1.9251464337838775e-6,3.6129110056365875e-5
HF0362,31,28783,6308,148,2601.1465078573497,270.1645247560287,Not significant,Not significant,4.991053324238935,0.5512920020913203,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,9.323272658153897e-4,0.002038534515026124
HF0376,32,11582,0,0,1046.6761231978537,108.71158411994318,Not significant,Not significant,-3.8142042387889443,3.166313899544711,0.11417506556227064,0,0,0,0,Not hotspot,Not hotspot,6.140072256323538e-6,1.1802868722835533e-4
HF0401,33,29137,0,0,2633.137817442226,273.48725837530515,Not significant,Not significant,-4.575191985068793,3.0435944142637745,0.0663911613149083,0,0,0,0,Not hotspot,Not hotspot,7.131449343019907e-7,1.5111364439198691e-5
HF0402,34,14744,0,0,1332.4290071170053,138.39091661754813,Not significant,Not significant,-4.03211286394424,3.1508088044372013,0.10032405729585014,0,0,0,0,Not hotspot,Not hotspot,3.6251229627537038e-6,7.111985000733127e-5
HF0411,35,33798,0,0,3054.356726976434,317.23658436244517,Not significant,Not significant,-4.6824973222777375,3.0086560258865376,0.059813410952904156,0,0,0,0,Not hotspot,Not hotspot,4.896217068195279e-7,1.0548137480811225e-5
HF0429,36,24780,0,0,2239.3916709413584,232.59135334935175,Not significant,Not significant,-4.463033317833955,3.0773981589877017,0.07349274892012725,0,0,0,0,Not hotspot,Not hotspot,1.0720063315971835e-6,2.2026538457349423e-5
HF0438,37,38773,0,0,3503.9521088542892,363.93319384238964,Not significant,Not significant,-4.851097258936408,3.0304716654654835,0.05471360145633153,0,0,0,0,Not hotspot,Not hotspot,3.918856434412345e-7,8.317853297160004e-6
HF0446,38,27853,0,0,2517.1015419987757,261.43530931555665,Not significant,Not significant,-4.5850185798542835,3.0813994822926865,0.06837989091124663,0,0,0,0,Not hotspot,Not hotspot,8.570586036106764e-7,1.75877834674687e-5
HF0465,39,25852,7898,65,2336.2693090062953,242.6534167387991,Not significant,Not significant,4.319183297214475,0.5649570983823111,0.9999999999999896,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.0014469653750080688,0.0011232517592810758
HF0494,40,29288,9391,2603,2646.7838280278656,274.90458260273664,Not significant,Not significant,7.760042042440976,0.5721307476883224,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.0013406505733447505,0.03444284848168125
HF0499,41,13401,2649,0,1211.060846742742,125.78517862125355,Not significant,High-High,1.3213758758325975,0.9313500810045833,0.9220176357749773,1,1,0,1,Bayesian hotspot only,Robust hotspot,0.001805397206852251,1.288746843175215e-4
HF0505,42,8760,0,0,791.6493558291485,82.22357769734953,Not significant,Not significant,-3.583807337895069,3.2130815966193222,0.13234378239712763,0,0,0,0,Not hotspot,Not hotspot,1.2080185907505235e-5,2.273789446971077e-4
HF0506,43,17879,4672,434,1615.7418758983272,167.8168202797845,High-High,High-High,6.497122510775822,0.5541604571299392,1,1,1,1,1,Robust hotspot,Robust hotspot,0.0017898153266413272,0.015421871584187929
HF0537,44,14188,0,0,1282.1827694639223,133.17215985958848,Not significant,Not significant,-4.004604980206739,3.1555761310488046,0.10221042397260482,0,0,0,0,Not hotspot,Not hotspot,3.975337205097697e-6,7.714287502346967e-5
HF0540,45,14995,0,0,1355.112110805717,140.74686616115937,Not significant,Not significant,-4.090626937431096,3.181529020789906,0.09926647941846312,0,0,0,0,Not hotspot,Not hotspot,3.79779311836708e-6,7.27624415527021e-5
HF0550,46,29277,2697,226,2645.7897477865276,274.8013338179569,Not significant,Not significant,5.347913265670134,0.5473096293261963,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,3.8534543480857987e-4,0.0029976600619417665
HF0560,47,10014,2444,0,904.9745033416773,93.99393916224409,Not significant,Not significant,1.5887929102096785,0.9339712301978134,0.9555393469371058,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.0029829068539234693,2.26836868381279e-4
HF0583,48,44464,0,0,4018.253077350144,417.35036058618147,Not significant,Not significant,-4.852099922776222,2.928331892882302,0.04876477859712902,0,0,0,0,Not hotspot,Not hotspot,2.3711201853794808e-7,5.343688081196922e-6
HF0588,49,27583,1071,157,2492.7013906204797,258.90102096187127,Not significant,Not significant,5.020321276922376,0.548329026542473,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,1.7247342563244736e-4,0.0023454244284510633
HF0608,50,45130,0,0,4078.4401174166064,423.60160519193886,Not significant,Not significant,-4.979940121467108,3.0106290533078024,0.04905162085285786,0,0,0,0,Not hotspot,Not hotspot,2.765487543694984e-7,5.927894036885219e-6
HF0615,51,28603,0,0,2584.879740271819,268.4749991869051,Not significant,Not significant,-4.70959887758232,3.1627217771069533,0.06823094017197884,0,0,0,0,Not hotspot,Not hotspot,1.0023804369826113e-6,1.9551899110524253e-5
HF0650,52,42103,285,0,3804.8873091866026,395.18941687117666,Not significant,Not significant,-0.3424263582829102,1.024555277957348,0.36910696312838953,0,0,0,0,Not hotspot,Not hotspot,1.9650661753004028e-5,9.379625984747846e-6
HF0678,53,45197,0,0,4084.494969795665,424.2304841537793,Not significant,Not significant,-4.837098161065935,2.9063889723404466,0.0480264182145651,0,0,0,0,Not hotspot,Not hotspot,2.1910419656307624e-7,5.0031353735412345e-6
HF0680,54,49954,2040,2021,4514.389488708823,468.8808904444519,Not significant,Not significant,6.919653340441242,0.5686306301655111,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,1.0016256793308302e-4,0.00919059799142125
HF0698,55,15464,0,0,1397.496077459127,145.1490188940426,Not significant,Not significant,-3.973998302218547,3.067079657931562,0.09754037521302061,0,0,0,0,Not hotspot,Not hotspot,2.704446832867664e-6,5.5439891129998354e-5
HF0715,56,11149,2628,711,1007.5455100615499,104.64733650088469,Not significant,Not significant,7.426064009523273,0.5676515524203033,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.0025896438450742285,0.06492005312790515
HF0718,57,14181,9051,173,1281.550172946707,133.1064560874559,Not significant,Not significant,5.867289088347034,0.5559436304632785,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.0055109524170326805,0.009811369759289038
HF0720,58,376,0,0,33.97947006755249,3.5292311888360075,Not significant,Not significant,-1.5227509512015966,4.262012039826059,0.3604394065300437,0,0,0,0,Not hotspot,Not hotspot,0.18551353467797588,1.8513807974639591
HF0724,59,24745,0,0,2236.228688355283,232.26283448868884,Not significant,Not significant,-4.438048692164794,3.0572741130116543,0.07330144313203824,0,0,0,0,Not hotspot,Not hotspot,1.026266727642075e-6,2.1260054657193454e-5
HF0732,60,5972,0,0,539.695200115488,56.05470388225701,Not significant,Not significant,-3.3863992905212603,3.3756017128003255,0.1578824971611128,0,0,0,0,Not hotspot,Not hotspot,4.017692670736149e-5,6.889953692239942e-4
HF0741,61,3728,1539,13,336.90283088254176,34.99195178718254,Not significant,Not significant,4.681491386837856,0.6093969505760877,0.9999999999999922,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.013557118220689529,0.011518971083969482
HF0752,62,7103,5466,304,641.9047231112377,66.67055620825043,Not significant,Not significant,7.086403437275955,0.5624469664781886,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.013266541994845664,0.06849537412464418
