area_index,shared_mean,shared_sd,shared_q025,shared_q50,shared_q975,exceed_prob_rr_gt1,hotspot_080,hotspot_090
216,-4.839198827117125,3.016924731005847,-10.766803825814984,-4.836615079773841,1.0737653195691799,0.0543551428222373,0,0
217,-4.019333579672293,3.195217502741669,-10.296802945050223,-4.016803051039174,2.2438376224731034,0.10421002918427558,0,0
218,3.269322768706838,0.572074538635138,2.1610373157471257,3.260711086540686,4.4312507291171475,0.9999999945101045,1,1
219,3.6185980641481317,0.6356320983413071,2.226761905271912,3.6547180053325543,4.773578026053221,0.9999999937554884,1,1
220,-4.220861415035302,3.145580107039033,-10.400979884954008,-4.218283242265168,1.9447115598559606,0.08982413543364576,0,0
221,-4.24726892873616,3.1391988647224323,-10.414846992335361,-4.244708934394043,1.905842753142105,0.08803123133487123,0,0
222,-4.3795719726282165,3.0722019809872876,-10.416327378853154,-4.376820377181122,1.6416855289933965,0.07699940026734975,0,0
223,-2.9704078509792673,3.4414174042179675,-9.732263471344412,-2.967621038923158,3.7758139469660126,0.19403162003569507,0,0
224,-4.681684381531683,3.015278568935057,-10.60650362880077,-4.678982655659147,1.2278984863041327,0.06025290670817185,0,0
225,4.714909883591681,0.5781664078332989,3.6278204153153655,4.695235938301609,5.926127972361563,0.9999999999999998,1,1
226,5.837841793902927,0.5595248433844968,4.789428621121521,5.817136530624122,7.015206995734475,1,1,1
227,7.568182838654183,0.567275217110019,6.457711813601363,7.5623051495696325,8.705090749597202,1,1,1
228,-5.104722157358721,3.014803370915623,-11.028954157669489,-5.101922579020863,0.8035775654767647,0.04520690070916833,0,0
229,-4.653199971702347,3.060161790162064,-10.665685035977768,-4.65061875395473,1.3446787416066552,0.06418348962130715,0,0
230,5.683463707021136,0.5551370740543105,4.626875492066688,5.668311424267773,6.833174805797931,1,1,1
231,4.700960435580975,0.5743099250668736,3.6070493912114485,4.686153911561446,5.887359682962815,0.9999999999999999,1,1
232,-4.419526006944397,2.986994595999981,-10.292783143049881,-4.415609140341272,1.4317633142963961,0.06949140773989171,0,0
233,5.602667942545523,0.5548961597510818,4.534540495595429,5.591405023387944,6.738583273179197,1,1,1
234,-4.1952687151081465,3.1638256598283276,-10.411173498782464,-4.192723004636037,2.0061937738434965,0.09241796995761287,0,0
235,-4.452063097135017,3.0730597258939563,-10.490031641943608,-4.449431567259596,1.5710550959602312,0.07370516857723075,0,0
236,5.288708657401225,0.5455899124510244,4.219682415738535,5.283104564250811,6.388694024985249,1,1,1
237,-3.900431320996382,3.23710941963662,-10.260112226609541,-3.897923225234974,2.4450165691198364,0.11411867738530623,0,0
238,-2.777596456185231,3.5511220176764864,-9.753315450803521,-2.77523493643,4.184818661746725,0.21705606654676957,0,0
239,4.623224415887251,0.5439455368502841,3.5521201233695487,4.6192418574545115,5.715541839363286,1,1,1
240,-5.517526888712236,3.0674353892153565,-11.552649771721182,-5.512518210384509,0.48901690179124113,0.036029698763604734,0,0
241,-5.169265025590537,3.1185120043533803,-11.3035131853169,-5.1645902991659804,0.9383011363756166,0.0486984824906066,0,0
242,-4.965480621155191,3.18267769972602,-11.227419872610948,-4.960328535483421,1.26706177268054,0.05936125375871182,0,0
243,-3.930469820268568,3.2220090938597474,-10.260425222923022,-3.927977990880249,2.3853670550944948,0.11125486852675759,0,0
244,3.447302805343432,0.7037800918131203,2.1037472072990777,3.4322770114787637,4.88353919230687,0.9999995165720319,1,1
