catchment_id,area_index,neighbour_count,component_id,is_island
HF2594,211,1,36,FALSE
HF2601,212,2,36,FALSE
HF2622,213,2,36,FALSE
HF2652,214,0,42,TRUE
HF2673,215,1,36,FALSE
HF2677,216,0,43,TRUE
HF2695,217,3,36,FALSE
HF2705,218,2,36,FALSE
HF2708,219,2,36,FALSE
HF2734,220,2,36,FALSE
HF2749,221,3,36,FALSE
HF2753,222,4,38,FALSE
HF2761,223,2,38,FALSE
HF2778,224,4,38,FALSE
HF2791,225,4,38,FALSE
HF2801,226,5,38,FALSE
HF2806,227,2,38,FALSE
HF2819,228,1,36,FALSE
HF2830,229,4,36,FALSE
HF2836,230,1,36,FALSE
HF2837,231,1,36,FALSE
HF2843,232,3,36,FALSE
HF2874,233,2,38,FALSE
HF2879,234,2,38,FALSE
HF2886,235,3,38,FALSE
HF2891,236,2,38,FALSE
HF2900,237,2,38,FALSE
HF2916,238,2,38,FALSE
HF2927,239,5,1,FALSE
HF2931,240,3,1,FALSE
HF2932,241,5,1,FALSE
HF2937,242,3,1,FALSE
HF2983,243,0,44,TRUE
HF2984,244,2,2,FALSE
HF2991,245,1,2,FALSE
HF3019,246,1,41,FALSE
HF3033,247,2,45,FALSE
HF3034,248,2,45,FALSE
HF3036,249,2,45,FALSE
HF3047,250,3,1,FALSE
HF3083,251,2,1,FALSE
HF3085,252,2,1,FALSE
HF3103,253,2,41,FALSE
HF3109,254,2,41,FALSE
HF3118,255,2,41,FALSE
HF3137,256,3,36,FALSE
HF3141,257,3,36,FALSE
HF3145,258,2,36,FALSE
HF3146,259,4,36,FALSE
HF3149,260,6,36,FALSE
HF3153,261,4,36,FALSE
HF3171,262,3,36,FALSE
HF3186,263,3,36,FALSE
HF3188,264,3,36,FALSE
HF3207,265,4,36,FALSE
HF3214,266,1,38,FALSE
HF3222,267,1,36,FALSE
HF3226,268,4,36,FALSE
HF3236,269,6,36,FALSE
HF3241,270,3,36,FALSE
HF3255,271,2,36,FALSE
HF3264,272,2,36,FALSE
HF3271,273,5,36,FALSE
HF3291,274,2,36,FALSE
HF3308,275,5,36,FALSE
HF3330,276,3,36,FALSE
HF3331,277,1,36,FALSE
HF3339,278,7,36,FALSE
HF3353,279,6,36,FALSE
HF3362,280,2,36,FALSE
