area_index,shared_mean,shared_sd,shared_q025,shared_q50,shared_q975,exceed_prob_rr_gt1,hotspot_080,hotspot_090
56,6.333203879762849,1.5543742846018347,3.2914818950357296,6.329217749958292,9.397368305511058,0.9999769373424955,1,1
57,5.455269008407729,1.5321883202613074,2.4539839219847135,5.452484339306097,8.472282862926125,0.999814885084816,1,1
58,-2.153981254815471,5.965450078219952,-13.87368189405628,-2.1508937290795562,9.548183655416823,0.35902129175038344,0,0
59,-2.3397216378096113,1.9904339137225617,-6.255460080746756,-2.3363173527432486,1.5566707345383421,0.11990072611823022,0,0
60,-4.212134411514361,4.7986016081560745,-13.644534384057271,-4.207556969707186,5.1942083953173785,0.19003054814435139,0,0
61,-0.9371112318151887,1.123947979497223,-3.146673110782079,-0.9365209821442617,1.269107172470958,0.20220602271027288,0,0
62,0.9371112698795648,1.1239479794366207,-1.2691071350697616,0.9365210204843506,3.146673147951867,0.7977939868463585,0,0
63,-5.984522073357881,4.143813616455353,-14.137266110881868,-5.977859877251778,2.1301226726368983,0.07434046502548275,0,0
64,3.992345848406446,1.5299956042969232,0.9962479862047013,3.989169648458708,7.006488552511528,0.9954647286046815,1,1
65,3.9913206679072806,1.5013761398099836,1.0450311994806376,3.9904816763983075,6.9423429851273655,0.9960748513346174,1,1
66,-4.205059375452033,4.56413840960971,-13.183042097708256,-4.198752971456829,4.736983985133093,0.17844012583465085,0,0
67,-4.1930315891251215,3.1664522924722553,-10.417366473224412,-4.189326977106039,2.0101741626230547,0.09271750470861206,0,0
68,-3.165582826513121,2.61270931911562,-8.302361051144949,-3.162201053736691,1.9519484640655622,0.11283099251537798,0,0
69,2.617983003396908,1.509189736691341,-0.34126709356542717,2.6164258760772836,5.586028088310314,0.9586025267278736,1,1
70,3.1720359001467497,1.5357267132033796,0.15933348922083868,3.1707307998383927,6.19215829594758,0.9805619075493234,1,1
71,-1.703468496631191,1.587265440463951,-4.8349564927273105,-1.6981922700486933,1.3981122256644176,0.14158854385385378,0,0
72,-2.9499259438430045,2.137939824257403,-7.156113277343668,-2.9461929084994374,1.2350296890594903,0.08382436306456409,0,0
73,1.9548292476713096,1.47801345654297,-0.9485149173889467,1.9551444847326744,4.8563859397416715,0.9070167565140401,1,1
74,-2.8889089804520034,1.8215954269350523,-6.477306755677727,-2.8841419837587154,0.6724167408837363,0.05637845757431592,0,0
75,1.0607479646718423,1.4539211815913073,-1.7942701663663814,1.0607817419048424,3.915669541393811,0.7671757147478345,0,0
76,-2.177881420903887,2.376444106839748,-6.849889312308989,-2.1748355083100495,2.4768217536187813,0.1797166496026913,0,0
77,-4.293972982773275,3.070326168920355,-10.330817697139203,-4.289958566942276,1.7200069720553035,0.08097553258611978,0,0
78,-16.165530018341396,2.686270871085602,-21.4695906355231,-16.155251324147624,-10.919727852975733,8.838360043839089e-10,0,0
79,6.142325029211957,1.5828785493166833,3.0447423754778247,6.138277383381637,9.262748293174294,0.9999478742639618,1,1
80,-3.5670237929355055,2.36523518335756,-8.217660558039045,-3.563737851549902,1.0649159160993134,0.06576378531245852,0,0
81,3.4819865058949415,1.5476409248832559,0.4438214345313516,3.4813885824146755,6.523525058580497,0.9877713106969731,1,1
82,4.476851908850676,1.4870045432514756,1.5565019282537547,4.476907284914133,7.396880739879443,0.9986965590936618,1,1
83,-4.44735700912978,2.6844071656902564,-9.72682260282729,-4.443300435121576,0.8090193310210037,0.04878631689789992,0,0
84,-4.009852332886563,2.786312156165537,-9.487225169385564,-4.006499812931596,1.448441489057263,0.07505751173391495,0,0
85,-4.662734741648682,2.7522458840932593,-10.07459680484454,-4.65892628174945,0.727438999237159,0.04511779186889231,0,0
86,4.785121285461132,1.5204856380588616,1.806700289537757,4.782354558363929,7.779211905183759,0.9991755089562521,1,1
87,5.436510276721391,1.5096113224573293,2.477401532992014,5.434541093360445,8.406750357158534,0.9998416636482483,1,1
88,2.4774039342332386,1.5356134591598454,-0.5372336810250173,2.476995603294327,5.494321267741409,0.9466602376725871,1,1
89,-5.037680510288864,4.5126815421394415,-13.909917437570721,-5.032614297471798,3.805689065869725,0.1321386164419267,0,0
90,-3.390622033954053,2.418901117394031,-8.146701093667712,-3.3873014279273805,1.34656751871136,0.08049944042824086,0,0
91,4.801438158913242,1.5019549570856283,1.8557906555964303,4.799997727429914,7.755220430093412,0.9993051754397111,1,1
