area_index,shared_mean_adj,shared_sd_adj,shared_q025_adj,shared_q50_adj,shared_q975_adj,exceed_prob_rr_gt1_adj,hotspot_080_adj,hotspot_090_adj
49,-0.187240614404055,1.1826412379523592,-2.541550982274097,-0.17928284957929785,2.120688614489837,0.43710070770021026,0,0
50,-5.399000071280185,2.0749410891834197,-9.521959216439278,-5.382153961536488,-1.3721825015829667,0.004634070749487074,0,0
51,-7.146095636452353,3.4702586198385146,-14.037527414289102,-7.121781732044908,-0.39298003251945524,0.01973562272546281,0,0
52,-10.556043936765676,1.64990599082132,-13.759227662616457,-10.569592479292234,-7.277022629416106,7.872968943445358e-11,0,0
53,-1.0027132386815978,2.4726789178983517,-5.907292575341229,-0.987512600912492,3.8165834069576534,0.34254877706947384,0,0
54,2.168551533539502,1.835512385159403,-1.4822462527901696,2.1858804836167036,5.725138204901258,0.8812864211499367,1,0
55,-2.8080380446737965,2.780195194755304,-8.336776371980255,-2.7860807411196693,2.596387144583679,0.15624412113880526,0,0
56,-3.1876250639456423,1.0267397759751151,-5.172118999492229,-3.206450428176313,-1.0895246585995162,9.526550731457917e-4,0,0
57,-4.188996742604679,1.0344814219132579,-6.015639258124663,-4.274376381024202,-1.9314787353937368,2.5677985061700603e-5,0,0
58,-1.6893966832191998,3.8952849851686047,-9.348889937736786,-1.6859856464953846,5.950237138694737,0.3322520732997676,0,0
59,-3.7815216618510235,1.7608439979009942,-7.265034257877595,-3.7721345072474137,-0.351874005977757,0.015874283357924734,0,0
60,-3.7714012738230345,3.164272577421559,-10.011243705734454,-3.7617198140667605,2.413107135397365,0.11665612903106026,0,0
61,-5.949154446984401,0.6307982768386389,-7.169845396810953,-5.959132968144309,-4.680078914243262,0,0,0
62,5.949154475360893,0.6307982760721309,4.6800789428236,5.959132996763539,7.169845423071028,1,1,1
63,-1.8220664807878255,4.718131812083914,-11.105130382959313,-1.8193051246775656,7.445442569246346,0.34968024324518676,0,0
