residual_priority_rank,catchment_id,facility_name,facility_class,ownership_class,region,catchment_population,malaria_cases,scd_cases,shared_mean_adj,shared_sd_adj,shared_q025_adj,shared_q975_adj,shared_ci_width_adj,exceed_prob_rr_gt1_adj,hotspot_080_adj,hotspot_090_adj,robust_hotspot_005_adj,robust_hotspot_010_adj,hotspot_class_005_adj,hotspot_class_010_adj,stability_score,stability_class,uncertainty_class,residual_hotspot_confidence,residual_typology,residual_priority_score,rr_malaria_adj,rr_scd_adj
18,HF2566,Hoima REGIONAL REF HOSPITAL,Hospital,Government,BUNYORO,18722,14128,1777,1.62155219134108,1.8234018158152223,-1.9637803489438468,5.204537703047918,7.168318051991765,0.8130792051712733,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,Moderate-confidence residual hotspot,Moderate-confidence residual hotspot,0.6511667450148612,0.00493557863358221,0.05755442796731805
19,HF0499,Kyannamukaaka HC IV,HC IV,Government,CENTRAL I,13401,2649,0,6.350264645277763,1.409226548809079,3.6575289045181236,9.187235919542779,5.5297070150246554,0.9999967001437008,1,1,0,1,Bayesian hotspot only,Robust hotspot,7,Highly stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.6502278395983514,0.0018053777962830594,1.0596558838342548e-4
20,HF0298,Kangulumira HC IV,HC IV,Government,CENTRAL II,25610,4109,71,3.788254212101411,0.9191135526077059,2.088879786728005,5.7355388563588985,3.6466590696308936,0.9999811906764359,1,1,0,1,Bayesian hotspot only,Robust hotspot,7,Highly stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.6495772574020542,7.67098964669633e-4,0.0012331302181801784
21,HF0752,Nakasongola HC IV,HC IV,Government,CENTRAL II,7103,5466,304,5.949154475360893,0.6307982760721309,4.6800789428236,7.169845423071028,2.489766480247428,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,2,Borderline stable,Low uncertainty,Moderate-confidence residual hotspot,Moderate-confidence residual hotspot,0.6390064851656277,0.013265924366000584,0.06815363176561262
22,HF1697,Princes Diana HC IV,HC IV,Government,TESO,13885,2897,67,7.5379466345958255,1.2026116682597896,5.202748341566558,9.926371627859558,4.723623286293,0.9999999998171198,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.6374844773743651,0.0018399136123926326,0.003952331268496194
23,HF0506,St. Joseph Kitovu HOSPITAL,General hospital,PNFP,CENTRAL I,17879,4672,434,1.3157065633005907,1.13554250548283,-0.9264225647844782,3.5506258313946546,4.477048396179133,0.8767023988537119,1,0,1,1,Robust hotspot,Robust hotspot,10,Highly stable,Low uncertainty,Moderate-confidence residual hotspot,Moderate-confidence residual hotspot,0.6339381275450279,0.0017898145068149915,0.015428325886431537
24,HF2806,Fort Portal Regional Referral Hospital,Hospital,Government,TORO,16826,9429,1200,1.717771201187458,1.4333459120914918,-1.1036608485403874,4.534928150455589,5.638588998995976,0.8846260472261107,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,Moderate-confidence residual hotspot,Moderate-confidence residual hotspot,0.6306226796457736,0.004078269976911174,0.04812099342077775
25,HF1375,Katakwi General Hospital,General hospital,Government,TESO,16880,22896,957,0.45530343564565856,1.3129395921794307,-2.116544970726747,3.053065600497469,5.169610571224216,0.6356223402514538,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.6278931589875226,0.009839268706877295,0.03815042413426357
26,HF3034,Kisoro HOSPITAL,General hospital,Government,KIGEZI,23176,2628,711,5.898601082017465,2.26208273790461,1.4920735987156926,10.387666166114634,8.895592567398943,0.9954409938008928,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.6232577587708952,5.992734082216412e-4,0.015026382583694797
27,HF2836,Kambuga HOSPITAL,General hospital,Government,KIGEZI,13918,6342,142,5.252538117240014,2.3296789187670166,0.7144537704106728,9.87122578458998,9.156772014179307,0.9879213699006114,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Moderate uncertainty,Moderate-confidence residual hotspot,Moderate-confidence residual hotspot,0.6201959221034952,0.004008940403463016,0.0083634601730245
