priority_rank,catchment_id,catchment_population,malaria_cases,scd_cases,shared_mean_step5,shared_sd_step5,exceed_prob_step5,stability_score,stability_class,prioritisation_score,final_typology_005,final_typology_010
61,HF0715,11149,2628,711,6.333203879762849,1.5543742846018347,0.9999769373424955,4,Moderately stable,0.5969143214985618,Bayesian-only shared hotspot,Bayesian-only shared hotspot
62,HF0252,28974,3771,273,4.7425406838483,1.434951714380615,0.9995251478349017,4,Moderately stable,0.594856250194676,Bayesian-only shared hotspot,Bayesian-only shared hotspot
63,HF3141,439,1447,424,9.544625710804423,1.5743394621523548,0.999999999330401,4,Moderately stable,0.5934099357572366,Bayesian-only shared hotspot,Bayesian-only shared hotspot
64,HF2278,12616,1861,724,6.201171683066506,1.5741021983877561,0.9999591737743883,4,Moderately stable,0.5927069322847387,Bayesian-only shared hotspot,Bayesian-only shared hotspot
65,HF0022,26312,3772,199,4.440115550349678,1.4598367909919503,0.9988230459590901,4,Moderately stable,0.5874885231846403,Bayesian-only shared hotspot,Bayesian-only shared hotspot
66,HF2594,9482,4306,137,6.320291632291987,1.5904976306705263,0.9999646299155117,4,Moderately stable,0.5874739295379862,Bayesian-only shared hotspot,Bayesian-only shared hotspot
67,HF3171,27126,3398,101,4.823145672107548,1.5369885995479744,0.9991496180407057,4,Moderately stable,0.5855220501684218,Bayesian-only shared hotspot,Bayesian-only shared hotspot
68,HF0550,29277,2697,226,4.360054325131891,1.479126037372486,0.9983993828501562,4,Moderately stable,0.583359335150594,Bayesian-only shared hotspot,Bayesian-only shared hotspot
69,HF1250,38980,3224,54,3.668588738347273,1.519320114014109,0.9921242972045101,4,Moderately stable,0.5829604806086865,Bayesian-only shared hotspot,Bayesian-only shared hotspot
70,HF0093,10903,2290,369,6.176240398405231,1.541439083169429,0.9999692267243,4,Moderately stable,0.5821250935100564,Bayesian-only shared hotspot,Bayesian-only shared hotspot
